id,split,secteur_grp,role,donnees_perso,donnees_sensibles,type_ia_norm,risk_level_aiact,origine,regle
GEN-LIM-020,train,rh_emploi,fournisseur,oui,non,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x rh_emploi) -> limite
GEN-LIM-021,train,rh_emploi,fournisseur,oui,oui,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x rh_emploi) -> limite
GEN-LIM-022,train,rh_emploi,déployeur,non,oui,generatif_llm,limite,genere,couple pur (generatif_llm x rh_emploi) -> limite
GEN-LIM-023,train,rh_emploi,déployeur,oui,oui,generatif_llm,limite,genere,couple pur (generatif_llm x rh_emploi) -> limite
GEN-LIM-024,train,rh_emploi,fournisseur,non,non,generatif_llm,limite,genere,couple pur (generatif_llm x rh_emploi) -> limite
GEN-LIM-025,train,rh_emploi,fournisseur,non,oui,generatif_llm,limite,genere,couple pur (generatif_llm x rh_emploi) -> limite
GEN-LIM-026,train,rh_emploi,fournisseur,oui,non,generatif_llm,limite,genere,couple pur (generatif_llm x rh_emploi) -> limite
GEN-LIM-027,train,rh_emploi,fournisseur,oui,oui,generatif_llm,limite,genere,couple pur (generatif_llm x rh_emploi) -> limite
GEN-MIN-001,train,autre,déployeur,non,non,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x autre) -> minimal
GEN-MIN-002,train,autre,déployeur,non,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x autre) -> minimal
GEN-MIN-003,train,autre,déployeur,oui,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x autre) -> minimal
GEN-MIN-004,train,autre,fournisseur,non,non,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x autre) -> minimal
GEN-MIN-005,train,autre,fournisseur,non,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x autre) -> minimal
GEN-MIN-006,train,autre,fournisseur,oui,non,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x autre) -> minimal
GEN-MIN-007,train,autre,fournisseur,oui,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x autre) -> minimal
GEN-MIN-008,train,commerce_marketing,déployeur,non,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x commerce_marketing) -> minimal
GEN-MIN-009,train,commerce_marketing,déployeur,oui,non,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x commerce_marketing) -> minimal
GEN-MIN-010,train,commerce_marketing,déployeur,oui,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x commerce_marketing) -> minimal
GEN-MIN-011,train,commerce_marketing,fournisseur,non,non,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x commerce_marketing) -> minimal
GEN-MIN-012,train,commerce_marketing,fournisseur,non,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x commerce_marketing) -> minimal
GEN-MIN-013,train,commerce_marketing,fournisseur,oui,non,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x commerce_marketing) -> minimal
GEN-MIN-014,train,commerce_marketing,fournisseur,oui,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x commerce_marketing) -> minimal
GEN-HAU-008,train,public_justice_securite,déployeur,non,oui,ml_tabulaire,haut_risque,genere,couple pur (ml_tabulaire x public_justice_securite) -> haut_risque
GEN-HAU-009,train,public_justice_securite,déployeur,oui,non,ml_tabulaire,haut_risque,genere,couple pur (ml_tabulaire x public_justice_securite) -> haut_risque
GEN-HAU-010,train,public_justice_securite,fournisseur,non,non,ml_tabulaire,haut_risque,genere,couple pur (ml_tabulaire x public_justice_securite) -> haut_risque
GEN-HAU-011,train,public_justice_securite,fournisseur,non,oui,ml_tabulaire,haut_risque,genere,couple pur (ml_tabulaire x public_justice_securite) -> haut_risque
GEN-HAU-012,train,public_justice_securite,fournisseur,oui,non,ml_tabulaire,haut_risque,genere,couple pur (ml_tabulaire x public_justice_securite) -> haut_risque
GEN-HAU-013,train,public_justice_securite,fournisseur,oui,oui,ml_tabulaire,haut_risque,genere,couple pur (ml_tabulaire x public_justice_securite) -> haut_risque
GEN-MIN-015,train,services,déployeur,non,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x services) -> minimal
GEN-MIN-016,train,services,déployeur,oui,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x services) -> minimal
GEN-MIN-017,train,services,fournisseur,non,non,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x services) -> minimal
GEN-MIN-018,train,services,fournisseur,non,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x services) -> minimal
GEN-MIN-019,train,services,fournisseur,oui,non,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x services) -> minimal
GEN-MIN-020,train,services,fournisseur,oui,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x services) -> minimal
GEN-MIN-021,train,tech_media_plateforme,déployeur,non,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x tech_media_plateforme) -> minimal
GEN-MIN-022,train,tech_media_plateforme,déployeur,oui,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x tech_media_plateforme) -> minimal
GEN-MIN-023,train,tech_media_plateforme,fournisseur,non,non,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x tech_media_plateforme) -> minimal
GEN-MIN-024,train,tech_media_plateforme,fournisseur,non,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x tech_media_plateforme) -> minimal
GEN-MIN-025,train,tech_media_plateforme,fournisseur,oui,non,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x tech_media_plateforme) -> minimal
GEN-MIN-026,train,tech_media_plateforme,fournisseur,oui,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x tech_media_plateforme) -> minimal
GEN-MIN-027,train,transport_logistique,déployeur,non,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x transport_logistique) -> minimal
GEN-MIN-028,train,transport_logistique,déployeur,oui,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x transport_logistique) -> minimal
GEN-MIN-029,train,transport_logistique,fournisseur,non,non,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x transport_logistique) -> minimal
GEN-MIN-030,train,transport_logistique,fournisseur,non,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x transport_logistique) -> minimal
GEN-MIN-031,train,transport_logistique,fournisseur,oui,non,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x transport_logistique) -> minimal
GEN-MIN-032,train,transport_logistique,fournisseur,oui,oui,ml_tabulaire,minimal,genere,couple pur (ml_tabulaire x transport_logistique) -> minimal
GEN-HAU-014,train,education,déployeur,non,non,nlp,haut_risque,genere,couple pur (nlp x education) -> haut_risque
GEN-HAU-015,train,education,déployeur,non,oui,nlp,haut_risque,genere,couple pur (nlp x education) -> haut_risque
GEN-HAU-016,train,education,déployeur,oui,oui,nlp,haut_risque,genere,couple pur (nlp x education) -> haut_risque
GEN-HAU-017,train,education,fournisseur,non,non,nlp,haut_risque,genere,couple pur (nlp x education) -> haut_risque
GEN-HAU-018,train,education,fournisseur,non,oui,nlp,haut_risque,genere,couple pur (nlp x education) -> haut_risque
GEN-HAU-019,train,education,fournisseur,oui,non,nlp,haut_risque,genere,couple pur (nlp x education) -> haut_risque
GEN-HAU-020,train,education,fournisseur,oui,oui,nlp,haut_risque,genere,couple pur (nlp x education) -> haut_risque
GEN-HAU-021,train,public_justice_securite,déployeur,non,non,nlp,haut_risque,genere,couple pur (nlp x public_justice_securite) -> haut_risque
GEN-HAU-022,train,public_justice_securite,déployeur,non,oui,nlp,haut_risque,genere,couple pur (nlp x public_justice_securite) -> haut_risque
GEN-HAU-023,train,public_justice_securite,fournisseur,non,non,nlp,haut_risque,genere,couple pur (nlp x public_justice_securite) -> haut_risque
GEN-HAU-024,train,public_justice_securite,fournisseur,non,oui,nlp,haut_risque,genere,couple pur (nlp x public_justice_securite) -> haut_risque
GEN-HAU-025,train,public_justice_securite,fournisseur,oui,non,nlp,haut_risque,genere,couple pur (nlp x public_justice_securite) -> haut_risque
GEN-HAU-026,train,public_justice_securite,fournisseur,oui,oui,nlp,haut_risque,genere,couple pur (nlp x public_justice_securite) -> haut_risque
GEN-HAU-027,train,rh_emploi,déployeur,non,non,nlp,haut_risque,genere,couple pur (nlp x rh_emploi) -> haut_risque
GEN-HAU-028,train,rh_emploi,déployeur,non,oui,nlp,haut_risque,genere,couple pur (nlp x rh_emploi) -> haut_risque
GEN-HAU-029,train,rh_emploi,déployeur,oui,oui,nlp,haut_risque,genere,couple pur (nlp x rh_emploi) -> haut_risque
GEN-HAU-030,train,rh_emploi,fournisseur,non,non,nlp,haut_risque,genere,couple pur (nlp x rh_emploi) -> haut_risque
GEN-HAU-031,train,rh_emploi,fournisseur,non,oui,nlp,haut_risque,genere,couple pur (nlp x rh_emploi) -> haut_risque
GEN-HAU-032,train,rh_emploi,fournisseur,oui,non,nlp,haut_risque,genere,couple pur (nlp x rh_emploi) -> haut_risque
GEN-HAU-033,train,rh_emploi,fournisseur,oui,oui,nlp,haut_risque,genere,couple pur (nlp x rh_emploi) -> haut_risque
GEN-HAU-034,train,education,déployeur,non,non,scoring,haut_risque,genere,couple pur (scoring x education) -> haut_risque
GEN-HAU-035,train,education,déployeur,non,oui,scoring,haut_risque,genere,couple pur (scoring x education) -> haut_risque
GEN-HAU-036,train,education,déployeur,oui,oui,scoring,haut_risque,genere,couple pur (scoring x education) -> haut_risque
GEN-HAU-037,train,education,fournisseur,non,non,scoring,haut_risque,genere,couple pur (scoring x education) -> haut_risque
GEN-HAU-038,train,education,fournisseur,non,oui,scoring,haut_risque,genere,couple pur (scoring x education) -> haut_risque
GEN-HAU-039,train,education,fournisseur,oui,non,scoring,haut_risque,genere,couple pur (scoring x education) -> haut_risque
GEN-HAU-040,train,education,fournisseur,oui,oui,scoring,haut_risque,genere,couple pur (scoring x education) -> haut_risque
GEN-HAU-041,train,rh_emploi,déployeur,non,non,scoring,haut_risque,genere,couple pur (scoring x rh_emploi) -> haut_risque
GEN-HAU-042,train,rh_emploi,déployeur,non,oui,scoring,haut_risque,genere,couple pur (scoring x rh_emploi) -> haut_risque
GEN-HAU-043,train,rh_emploi,déployeur,oui,oui,scoring,haut_risque,genere,couple pur (scoring x rh_emploi) -> haut_risque
GEN-HAU-044,train,rh_emploi,fournisseur,non,non,scoring,haut_risque,genere,couple pur (scoring x rh_emploi) -> haut_risque
GEN-HAU-045,train,rh_emploi,fournisseur,non,oui,scoring,haut_risque,genere,couple pur (scoring x rh_emploi) -> haut_risque
GEN-HAU-046,train,rh_emploi,fournisseur,oui,non,scoring,haut_risque,genere,couple pur (scoring x rh_emploi) -> haut_risque
GEN-HAU-047,train,rh_emploi,fournisseur,oui,oui,scoring,haut_risque,genere,couple pur (scoring x rh_emploi) -> haut_risque
GEN-HAU-048,train,sante,déployeur,non,non,scoring,haut_risque,genere,couple pur (scoring x sante) -> haut_risque
GEN-HAU-049,train,sante,déployeur,non,oui,scoring,haut_risque,genere,couple pur (scoring x sante) -> haut_risque
GEN-HAU-050,train,sante,déployeur,oui,non,scoring,haut_risque,genere,couple pur (scoring x sante) -> haut_risque
GEN-HAU-051,train,sante,fournisseur,non,non,scoring,haut_risque,genere,couple pur (scoring x sante) -> haut_risque
GEN-HAU-052,train,sante,fournisseur,non,oui,scoring,haut_risque,genere,couple pur (scoring x sante) -> haut_risque
GEN-HAU-053,train,sante,fournisseur,oui,non,scoring,haut_risque,genere,couple pur (scoring x sante) -> haut_risque
GEN-HAU-054,train,sante,fournisseur,oui,oui,scoring,haut_risque,genere,couple pur (scoring x sante) -> haut_risque
GEN-HAU-055,train,sante,déployeur,non,non,vision,haut_risque,genere,couple pur (vision x sante) -> haut_risque
GEN-HAU-056,train,sante,déployeur,non,oui,vision,haut_risque,genere,couple pur (vision x sante) -> haut_risque
GEN-HAU-057,train,sante,déployeur,oui,non,vision,haut_risque,genere,couple pur (vision x sante) -> haut_risque
GEN-HAU-058,train,sante,fournisseur,non,non,vision,haut_risque,genere,couple pur (vision x sante) -> haut_risque
GEN-HAU-059,train,sante,fournisseur,non,oui,vision,haut_risque,genere,couple pur (vision x sante) -> haut_risque
GEN-HAU-060,train,sante,fournisseur,oui,non,vision,haut_risque,genere,couple pur (vision x sante) -> haut_risque
GEN-INT-022,train,tech_media_plateforme,déployeur,non,non,vision,interdit,genere,couple pur (vision x tech_media_plateforme) -> interdit
GEN-INT-023,train,tech_media_plateforme,déployeur,non,oui,vision,interdit,genere,couple pur (vision x tech_media_plateforme) -> interdit
GEN-INT-024,train,tech_media_plateforme,déployeur,oui,non,vision,interdit,genere,couple pur (vision x tech_media_plateforme) -> interdit
GEN-INT-025,train,tech_media_plateforme,fournisseur,non,non,vision,interdit,genere,couple pur (vision x tech_media_plateforme) -> interdit
GEN-INT-026,train,tech_media_plateforme,fournisseur,non,oui,vision,interdit,genere,couple pur (vision x tech_media_plateforme) -> interdit
GEN-INT-027,train,tech_media_plateforme,fournisseur,oui,non,vision,interdit,genere,couple pur (vision x tech_media_plateforme) -> interdit
GEN-INT-028,train,tech_media_plateforme,fournisseur,oui,oui,vision,interdit,genere,couple pur (vision x tech_media_plateforme) -> interdit
