id;titre_cas;risk_level_aiact;Q3;Q10;Q55;risk_article;risk_justification
TRN-INT-01;Messages subliminaux poussant à l'achat;interdit;Une application diffuse des stimuli subliminaux pour pousser l'utilisateur à acheter sans qu'il en ait conscience. L'analyse repose sur des contenus personnalisés.;oui;non;Art.5(1)(a) (techniques subliminales/manipulatrices);Techniques subliminales ou manipulatrices altérant le comportement au préjudice de la personne = interdit (Art.5(1)(a)).
TRN-INT-02;Ciblage de personnes âgées isolées;interdit;Un courtier cible des personnes âgées isolées avec des messages exploitant leur vulnérabilité. L'analyse repose sur des profils vulnérables.;oui;non;Art.5(1)(b) (exploitation d'une vulnérabilité);Exploitation de la vulnérabilité liée à l'âge, au handicap ou à la situation socio-économique = interdit (Art.5(1)(b)).
TRN-INT-03;Score citoyen conditionnant l'accès aux services;interdit;Une enseigne attribue à ses clients un score de comportement global qui conditionne l'accès à certains services. Le score additionne des comportements observés dans des contextes différents (achats, navigation en ligne, présence en magasin), sans rapport avec les services auxquels il conditionne l'accès.;oui;non;Art.5(1)(c)(i) (notation sociale - contextes sans lien);Notation sociale entraînant un traitement défavorable dans des contextes sans lien avec la collecte = interdit (Art.5(1)(c)(i)).
TRN-INT-04;Restriction de services selon un score de civisme;interdit;Une collectivité restreint l'accès à des services selon un score de civisme disproportionné. Le système s'appuie sur l'historique comportemental.;oui;non;Art.5(1)(c)(ii) (notation sociale - traitement disproportionné);Notation sociale entraînant un traitement injustifié ou disproportionné = interdit (Art.5(1)(c)(ii)).
TRN-INT-05;Prédiction d'infraction sur profilage seul;interdit;Un outil prédit qu'une personne commettra un délit sur le seul fondement de son profil. Il exploite le profil individuel.;oui;oui;Art.5(1)(d) (police prédictive individuelle sur profilage seul);Prédiction du risque qu'une personne commette une infraction sur le seul fondement du profilage = interdit (Art.5(1)(d)).
TRN-INT-06;Moissonnage d'images faciales sur le web;interdit;Une société aspire massivement des visages sur internet pour constituer une base de reconnaissance. L'analyse repose sur des images web et de vidéosurveillance.;oui;oui;Art.5(1)(e) (moissonnage d'images faciales);Constitution/extension de bases de reconnaissance faciale par moissonnage non ciblé d'images = interdit (Art.5(1)(e)).
TRN-INT-07;Analyse des émotions des salariés;interdit;Un employeur analyse en continu les émotions des salariés via la webcam pour mesurer l'engagement. Le système s'appuie sur un flux vidéo et audio.;oui;oui;Art.5(1)(f) (reconnaissance des émotions au travail/à l'école);Reconnaissance des émotions sur le lieu de travail ou dans l'enseignement = interdit (Art.5(1)(f)), sauf raisons médicales/sécurité.
TRN-INT-08;Déduction de l'origine ethnique en magasin;interdit;Une enseigne infère l'origine ethnique présumée des clients pour personnaliser les offres. Le système s'appuie sur des images faciales.;oui;oui;Art.5(1)(g) (catégorisation biométrique de caractéristiques sensibles);Catégorisation biométrique déduisant des caractéristiques protégées (origine, opinions, orientation…) = interdit (Art.5(1)(g)).
TRN-INT-09;Reconnaissance faciale temps réel en rue;interdit;Une société déploie l'identification faciale en temps réel des passants dans la rue à des fins de sécurité. Le système s'appuie sur un flux de vidéosurveillance publique.;oui;oui;Art.5(1)(h) (identification biométrique temps réel dans l'espace public);Identification biométrique à distance en temps réel dans l'espace public à des fins répressives = interdit (Art.5(1)(h)), hors exceptions strictes.
TRN-INT-10;Interface manipulatrice (dark pattern IA);interdit;Un site adapte en continu son interface pour manipuler l'utilisateur vers un abonnement coûteux. Il exploite des contenus personnalisés.;oui;non;Art.5(1)(a) (techniques subliminales/manipulatrices);Techniques subliminales ou manipulatrices altérant le comportement au préjudice de la personne = interdit (Art.5(1)(a)).
TRN-INT-11;Exploitation de joueurs en difficulté;interdit;Une plateforme cible les joueurs vulnérables pour maximiser leurs dépenses. Il exploite des profils vulnérables.;oui;non;Art.5(1)(b) (exploitation d'une vulnérabilité);Exploitation de la vulnérabilité liée à l'âge, au handicap ou à la situation socio-économique = interdit (Art.5(1)(b)).
TRN-INT-12;Note de confiance transversale des clients;interdit;Une entreprise agrège les comportements en ligne pour attribuer une note de confiance générale. Il exploite des comportements agrégés.;oui;non;Art.5(1)(c)(i) (notation sociale - contextes sans lien);Notation sociale entraînant un traitement défavorable dans des contextes sans lien avec la collecte = interdit (Art.5(1)(c)(i)).
TRN-INT-13;Blacklist automatique disproportionnée;interdit;Un bailleur exclut automatiquement des locataires selon un score sans commune mesure avec les faits. L'analyse repose sur l'historique comportemental.;oui;non;Art.5(1)(c)(ii) (notation sociale - traitement disproportionné);Notation sociale entraînant un traitement injustifié ou disproportionné = interdit (Art.5(1)(c)(ii)).
TRN-INT-14;Score de dangerosité individuelle a priori;interdit;Un service attribue un score de dangerosité à des individus par simple profilage. Le système s'appuie sur le profil individuel.;oui;oui;Art.5(1)(d) (police prédictive individuelle sur profilage seul);Prédiction du risque qu'une personne commette une infraction sur le seul fondement du profilage = interdit (Art.5(1)(d)).
TRN-INT-15;Extraction de visages depuis la vidéosurveillance;interdit;Une entreprise extrait sans ciblage les visages des caméras pour étendre sa base faciale. Il exploite des images web et de vidéosurveillance.;oui;oui;Art.5(1)(e) (moissonnage d'images faciales);Constitution/extension de bases de reconnaissance faciale par moissonnage non ciblé d'images = interdit (Art.5(1)(e)).
TRN-INT-16;Détection de l'attention des élèves;interdit;Une école analyse les émotions des élèves en classe pour mesurer leur attention. L'analyse repose sur un flux vidéo et audio.;oui;oui;Art.5(1)(f) (reconnaissance des émotions au travail/à l'école);Reconnaissance des émotions sur le lieu de travail ou dans l'enseignement = interdit (Art.5(1)(f)), sauf raisons médicales/sécurité.
TRN-INT-17;Inférence de l'orientation sexuelle;interdit;Une plateforme déduit l'orientation sexuelle des utilisateurs à partir de données biométriques. L'analyse repose sur des images faciales.;oui;oui;Art.5(1)(g) (catégorisation biométrique de caractéristiques sensibles);Catégorisation biométrique déduisant des caractéristiques protégées (origine, opinions, orientation…) = interdit (Art.5(1)(g)).
TRN-INT-18;Identification en temps réel à un concert;interdit;Une police municipale identifie en temps réel les personnes présentes dans l'espace public à l'entrée d'un concert, à des fins de maintien de l'ordre. L'analyse repose sur un flux de vidéosurveillance publique.;oui;oui;Art.5(1)(h) (identification biométrique temps réel dans l'espace public);Identification biométrique à distance en temps réel dans l'espace public à des fins répressives = interdit (Art.5(1)(h)), hors exceptions strictes.
TRN-INT-19;Nudge caché vers un crédit;interdit;Une appli oriente insidieusement l'utilisateur vers un crédit par des messages manipulateurs. Le système s'appuie sur des contenus personnalisés.;oui;non;Art.5(1)(a) (techniques subliminales/manipulatrices);Techniques subliminales ou manipulatrices altérant le comportement au préjudice de la personne = interdit (Art.5(1)(a)).
TRN-INT-20;Ciblage de personnes surendettées;interdit;Un organisme cible les personnes surendettées avec des offres exploitant leur détresse. Le système s'appuie sur des profils vulnérables.;oui;non;Art.5(1)(b) (exploitation d'une vulnérabilité);Exploitation de la vulnérabilité liée à l'âge, au handicap ou à la situation socio-économique = interdit (Art.5(1)(b)).
TRN-INT-21;Score social inter-services;interdit;Une plateforme agrège des comportements sans lien pour attribuer un score conditionnant l'accès à des services. Le système s'appuie sur des comportements agrégés.;oui;non;Art.5(1)(c)(i) (notation sociale - contextes sans lien);Notation sociale dans des contextes sans lien avec la collecte = interdit (Art.5(1)(c)(i)).
TRN-INT-22;Analyse émotionnelle des téléconseillers;interdit;Un centre d'appels mesure en continu l'état émotionnel des téléconseillers. Le système s'appuie sur les flux vidéo et audio des postes.;oui;oui;Art.5(1)(f) (reconnaissance des émotions au travail/à l'école);Reconnaissance des émotions sur le lieu de travail ou dans l'enseignement = interdit (Art.5(1)(f)), sauf raisons médicales/sécurité.
TRN-INT-23;Catégorisation religieuse par le visage;interdit;Un annonceur infère les convictions religieuses à partir d'images faciales. Le système s'appuie sur les images faciales captées.;oui;oui;Art.5(1)(g) (catégorisation biométrique de caractéristiques sensibles);Catégorisation biométrique déduisant des caractéristiques protégées (origine, opinions, orientation…) = interdit (Art.5(1)(g)).
TRN-INT-24;Reconnaissance faciale temps réel dans les transports;haut_risque;Un opérateur identifie en temps réel les voyageurs dans l'espace public à des fins de sécurité. Le système s'appuie sur un flux de vidéosurveillance publique.;oui;oui;Art.6(2) + Annexe III §1(a) (identification biométrique à distance);Identification biométrique à distance en temps réel par un OPÉRATEUR PRIVÉ à des fins de sécurité (non répressives). L'Art.5(1)(h) ne s'applique PAS : il est réservé aux fins répressives / de maintien de l'ordre (law enforcement, Art.3(46)). Relève donc de l'Annexe III §1(a) (systèmes d'identification biométrique à distance, hors vérification 1:1) = haut_risque. Zone grise = frontière 5(1)(h) répressif vs Annexe III privé.
TRN-LIM-01;Chatbot SAV e-commerce;limite;Un site déploie un chatbot qui répond aux questions des clients sur les commandes et les produits. Le système s'appuie sur les messages des utilisateurs.;oui;non;Art.50(1) (information : interaction avec une IA);Système qui interagit avec des personnes ? obligation d'informer qu'il s'agit d'une IA (Art.50(1)). Pas d'usage Annexe III ? risque limité.
TRN-LIM-02;Génération de descriptions produits;limite;Un site génère automatiquement les descriptions de ses produits à partir de son catalogue. Le système s'appuie sur le catalogue et des prompts.;non;non;Art.50(2) (marquage des contenus générés par IA);"Système génératif produisant du texte -> une obligation de transparence Art.50(2) (marquage du contenu comme artificiel) s'attache à la sortie du système = risque limité. Nuance (zone grise) : 50(2) pèse sur le FOURNISSEUR du modèle ; le DÉPLOYEUR seul n'a d'obligation 50(4) que pour un texte d'INTÉRÊT PUBLIC — ici descriptions produits commerciales, hors champ 50(4). Pas d'usage Annexe III. Frontière limité/minimal assumée."
TRN-LIM-03;Voix de synthèse imitant une personne réelle;limite;Une agence produit des voix de synthèse imitant une personne réelle pour des vidéos marketing. Le système s'appuie sur des voix et vidéos sources.;oui;non;Art.50(4) (signalement des hypertrucages / deepfakes);Contenu audio/vidéo de synthèse imitant une personne = hypertrucage (deepfake) -> le déployeur doit signaler le contenu comme artificiellement généré/manipulé (Art.50(4), 1er al.) = risque limité. Zone grise : l'imitation d'une personne réelle tente un label plus haut, mais le niveau AI Act reste limité. Points de vigilance HORS taxonomie AI Act (à signaler, pas à requalifier) : RGPD, droit à l'image et à la voix, consentement.
TRN-LIM-04;Assistant vocal d'accueil téléphonique;limite;Une entreprise met un assistant vocal IA en première ligne de son accueil téléphonique. Le système s'appuie sur les messages des utilisateurs.;oui;non;Art.50(1) (information : interaction avec une IA);Système qui interagit avec des personnes ? obligation d'informer qu'il s'agit d'une IA (Art.50(1)). Pas d'usage Annexe III ? risque limité.
TRN-LIM-05;Rédaction automatique d'articles de blog;limite;Un média génère des brouillons d'articles à partir de consignes. Le système s'appuie sur le catalogue et les prompts.;non;non;Art.50(2) (marquage des contenus générés par IA);"Système génératif de texte -> transparence Art.50(2) sur la sortie = risque limité. Spécificité MÉDIA (distingue ce cas de #99 commercial) : le texte relèverait de l'Art.50(4) al.3 (déployeur signale un texte publié pour informer le public sur des questions d'intérêt public). MAIS 'brouillons' -> revue éditoriale avec responsabilité humaine -> exception 50(4) al.3 applicable -> pas d'obligation de signalement pour le déployeur ; résiduel = marquage 50(2) (fournisseur). Pas d'usage Annexe III -> limité."
TRN-LIM-06;Avatar vidéo synthétique de présentateur;limite;Une chaîne produit un présentateur virtuel deepfake pour ses contenus. Le système s'appuie sur des voix et vidéos sources.;oui;non;Art.50(4) (signalement des hypertrucages / deepfakes);"Contenu vidéo de synthèse représentant un présentateur = hypertrucage au sens de l'Art.3(60) ('contenu généré ou manipulé qui ressemble à des personnes existantes et pourrait être pris pour authentique') -> le déployeur doit signaler le contenu comme artificiellement généré/manipulé (Art.50(4), 1er al.) = risque limité. perso=oui car ressemblance à une personne réelle identifiable (fondement de la qualification 3(60)). Zone grise : l'imitation d'une personne réelle tente un label plus haut ; le niveau AI Act reste limité."
TRN-LIM-07;Chatbot RH interne;limite;Une PME propose un chatbot interne répondant aux questions des salariés sur la paie et les congés. L'analyse repose sur les messages des utilisateurs.;oui;non;Art.50(1) (information : interaction avec une IA);Système qui interagit avec des personnes -> obligation d'informer qu'il s'agit d'une IA (Art.50(1)) = risque limité. Zone grise : le secteur RH tente un classement haut risque via l'Annexe III §4 (emploi), mais le §4 vise le recrutement/la sélection, les décisions sur les conditions de travail, la promotion, la résiliation, l'attribution des tâches, ou la surveillance et l'évaluation des performances. Ici le chatbot se borne à INFORMER (paie, congés) : aucune décision RH, aucune évaluation, aucune surveillance -> §4 écarté. Le secteur ne fait pas le risque, l'usage le fait.
TRN-LIM-08;Génération d'images marketing;limite;Une agence génère des visuels marketing par IA à partir de briefs. L'analyse repose sur le catalogue et les prompts.;non;non;Art.50(2) (marquage des contenus générés par IA);"Système génératif produisant des images -> une obligation de transparence Art.50(2) (marquage du contenu comme artificiel) s'attache à la sortie du système = risque limité. Nuances (zone grise) : (1) le 50(2) pèse sur le FOURNISSEUR du système, pas sur l'agence déployeuse ; (2) le 50(4) est écarté — pas d'hypertrucage au sens de l'Art.3(60) (les visuels ne ressemblent pas à des personnes existantes, cf. perso=non) et pas de texte d'intérêt public. Pour un déployeur pur, frontière limité/minimal assumée. Pas d'usage Annexe III."
TRN-LIM-09;Doublage synthétique d'une célébrité;limite;Un studio génère la voix synthétique d'une célébrité qui a cédé les droits sur sa voix par contrat, pour une publicité. L'analyse repose sur des voix et vidéos sources fournies sous licence.;oui;non;Art.50(4) (signalement des hypertrucages / deepfakes);"Contenu audio de synthèse ressemblant à une personne existante = hypertrucage (Art.3(60)) -> le déployeur doit signaler le contenu comme artificiellement généré/manipulé (Art.50(4), 1er al.) = risque limité. POINT CLÉ : la cession de droits par la célébrité n'exonère PAS de l'Art.50(4). L'obligation vise à informer le PUBLIC que le contenu est artificiel ; elle ne dépend pas du consentement de la personne imitée (le consentement règle les droits de la personnalité, pas la transparence due à l'audience). Zone grise : le contrat de licence tente une conclusion 'tout est réglé donc minimal' ; le niveau AI Act reste limité."
TRN-LIM-10;Agent conversationnel bancaire;limite;Une banque déploie un agent conversationnel pour renseigner ses clients. Le système s'appuie sur les messages des utilisateurs.;oui;non;Art.50(1) (information : interaction avec une IA);Système qui interagit avec des personnes -> obligation d'informer qu'il s'agit d'une IA (Art.50(1)) = risque limité. Zone grise : le secteur bancaire tente un classement haut risque via l'Annexe III §5(b) (évaluation de la solvabilité ou établissement d'un score de crédit des personnes physiques). Or l'agent se borne à RENSEIGNER : aucune évaluation de solvabilité, aucun score, aucune décision d'octroi -> §5(b) écarté. Le secteur ne fait pas le risque, l'usage le fait.
TRN-LIM-11;Résumés automatiques de réunions;limite;Une entreprise génère automatiquement des comptes rendus de réunions. Le système s'appuie sur les enregistrements et transcriptions des réunions.;oui;non;Art.50(2) (marquage des contenus générés par IA);Système génératif produisant du texte -> obligation de transparence Art.50(2) (marquage du contenu comme artificiel) = risque limité. perso=oui : un compte rendu de réunion contient des personnes identifiables et leurs propos (qui a dit quoi) = données personnelles. Le 50(4) al.3 est écarté (compte rendu interne, pas un texte publié pour informer le public sur des questions d'intérêt public). Pas d'usage Annexe III.
TRN-LIM-12;Vidéo promotionnelle avec visage synthétique;limite;Une marque diffuse une vidéo mettant en scène le visage d'un acteur réel, recréé par IA. Le système s'appuie sur des voix et vidéos sources de cet acteur.;oui;non;Art.50(4) (signalement des hypertrucages / deepfakes);Contenu vidéo recréant le visage d'une personne EXISTANTE = hypertrucage au sens de l'Art.3(60) ('ressemble à des personnes existantes et pourrait être pris pour authentique') -> le déployeur doit signaler le contenu comme artificiellement généré/manipulé (Art.50(4), 1er al.) = risque limité. perso=oui (personne réelle identifiable). DISTINCTION CLÉ : un visage entièrement SYNTHÉTIQUE (personne inexistante) ne serait PAS un hypertrucage au sens 3(60) et relèverait du seul marquage 50(2), avec perso=non. C'est la ressemblance à une personne existante qui déclenche le 50(4).
TRN-LIM-13;Chatbot d'information touristique;limite;Un office de tourisme propose un chatbot d'information aux visiteurs. Le système s'appuie sur les messages des utilisateurs.;oui;non;Art.50(1) (information : interaction avec une IA);Système qui interagit avec des personnes ? obligation d'informer qu'il s'agit d'une IA (Art.50(1)). Pas d'usage Annexe III ? risque limité.
TRN-LIM-14;Génération de posts pour les réseaux;limite;Une marque génère automatiquement ses publications sociales. Le système s'appuie sur le catalogue et les prompts.;non;non;Art.50(2) (marquage des contenus générés par IA);Système génératif produisant du texte -> transparence Art.50(2) (marquage du contenu comme artificiel) = risque limité. Le 50(4) al.3 est écarté : publications commerciales d'une marque, pas un texte publié pour informer le public sur des questions d'intérêt public. perso=non (contenu portant sur les produits). Frontière limité/minimal assumée pour un déployeur pur (le 50(2) pèse sur le fournisseur du système). Pas d'usage Annexe III.
TRN-LIM-15;Influenceur virtuel de marque;limite;Une marque anime un influenceur virtuel entièrement généré par IA. Le système s'appuie sur des voix et vidéos sources.;non;non;Art.50(2) (marquage des contenus générés par IA);"Personnage entièrement synthétique : il ne représente AUCUNE personne existante -> l'hypertrucage de l'Art.3(60) ('contenu qui ressemble à des personnes existantes') n'est PAS constitué -> le 50(4) est écarté. Reste le marquage du contenu synthétique (Art.50(2)) = risque limité. perso=non : aucune personne physique identifiable. ZONE GRISE ASSUMÉE (controverse d'interprétation) : une lecture large du 3(60) invoque sa fin de phrase ('pourrait être pris pour authentique') pour soutenir qu'un influenceur photoréaliste, cru humain par le public, relèverait du 50(4) ; la lecture stricte retenue ici exige la ressemblance à une personne PRÉCISE. Point de vigilance hors AI Act : pratiques commerciales trompeuses si le public croit à une personne réelle."
TRN-LIM-16;Assistant de prise de rendez-vous médical;limite;Un cabinet propose un assistant conversationnel pour prendre les rendez-vous. L'analyse repose sur les messages des utilisateurs.;oui;oui;Art.50(1) (information : interaction avec une IA);Système qui interagit avec des personnes -> obligation d'informer qu'il s'agit d'une IA (Art.50(1)) = risque limité. Zone grise : le secteur de la santé tente un classement haut risque via l'Annexe III §5(a) (systèmes utilisés par les autorités publiques pour évaluer l'accès aux services publics essentiels, dont les soins) et §5(d) (triage des patients / répartition des secours d'urgence). Or il s'agit d'un cabinet privé et d'une simple prise de rendez-vous : ni évaluation d'éligibilité par une autorité publique, ni triage médical -> §5(a) et §5(d) écartés. sensibles=oui : la prise de rendez-vous médical révèle en elle-même une information relative à la santé (donnée de l'art. 9 RGPD, entendu largement - le seul fait de consulter, a fortiori un spécialiste, est révélateur).
TRN-LIM-17;Génération de fiches techniques;limite;Un fabricant génère automatiquement les fiches techniques de ses produits. L'analyse repose sur le catalogue et les prompts.;non;non;Art.50(2) (marquage des contenus générés par IA);Système génératif produisant du texte -> transparence Art.50(2) (marquage du contenu comme artificiel) = risque limité. Le 50(4) al.3 est écarté : documentation produit commerciale, pas un texte publié pour informer le public sur des questions d'intérêt public. perso=non. Frontière limité/minimal assumée pour un déployeur pur (le 50(2) pèse sur le fournisseur du système). Pas d'usage Annexe III.
TRN-LIM-18;Doublage par voix clonée;limite;Un studio double un film avec la voix clonée d'un acteur. L'analyse repose sur des voix et vidéos sources.;oui;non;Art.50(4) (signalement des deepfakes);Voix clonée d'un acteur réel = contenu audio ressemblant à une personne EXISTANTE -> hypertrucage au sens de l'Art.3(60) -> obligation de signalement du déployeur (Art.50(4), 1er al.) = risque limité. perso=oui (personne réelle identifiable). SPÉCIFICITÉ DE CE CAS : un film est une oeuvre manifestement artistique/créative/fictionnelle -> l'Art.50(4) al.2 ATTÉNUE l'obligation : le signalement se limite à révéler l'existence du contenu généré ou manipulé 'd'une manière appropriée qui n'entrave pas l'exploitation ou la jouissance de l'oeuvre'. L'obligation n'est donc pas supprimée, elle est aménagée. Point de vigilance hors AI Act : droits de la personnalité de l'acteur, contrat et rémunération.
TRN-LIM-19;Chatbot d'assurance;limite;Un assureur déploie un chatbot répondant aux questions de ses assurés. L'analyse repose sur les messages des utilisateurs.;oui;non;Art.50(1) (information : interaction avec une IA);Système qui interagit avec des personnes -> obligation d'informer qu'il s'agit d'une IA (Art.50(1)) = risque limité. Zone grise : le secteur de l'assurance tente un classement haut risque via l'Annexe III §5(c) (systèmes destinés à l'évaluation des risques et à la tarification en assurance vie et santé). Or le chatbot se borne à RÉPONDRE aux questions des assurés : aucune évaluation de risque, aucune tarification, aucune décision de couverture -> §5(c) écarté. Le secteur ne fait pas le risque, l'usage le fait.
TRN-LIM-20;Génération d'emails marketing;limite;Une marque génère automatiquement ses emails marketing. Le système s'appuie sur des consignes et les données clients.;oui;non;Art.50(2) (marquage des contenus générés);Système génératif produisant du texte -> transparence Art.50(2) (marquage du contenu comme artificiel) = risque limité. Le 50(4) al.3 est écarté : contenu commercial, pas un texte publié pour informer le public sur des questions d'intérêt public. perso=oui : l'email est adressé nominativement et personnalisé à partir des données clients (à la différence d'un post social générique, cf. #111 perso=non). Frontière limité/minimal assumée pour un déployeur pur. Pas d'usage Annexe III.
TRN-LIM-21;Porte-parole synthétique d'entreprise;limite;Une entreprise diffuse des messages via un porte-parole vidéo recréant par IA le visage et la voix de son dirigeant. Le système s'appuie sur des voix et vidéos sources du dirigeant.;oui;non;Art.50(4) (signalement des deepfakes);Vidéo recréant le visage et la voix d'une personne EXISTANTE (le dirigeant) = hypertrucage au sens de l'Art.3(60) ('ressemble à des personnes existantes et pourrait être pris pour authentique') -> le déployeur doit signaler le contenu comme artificiellement généré/manipulé (Art.50(4), 1er al.) = risque limité. perso=oui (personne réelle identifiable). L'atténuation du 50(4) al.2 (oeuvre artistique/créative/fictionnelle) NE s'applique PAS ici : une communication d'entreprise n'est pas une oeuvre - à la différence du doublage de film (#115). Pas d'usage Annexe III.
TRN-LIM-22;Chatbot opérateur télécom;limite;Un opérateur propose un chatbot pour renseigner ses abonnés. Le système s'appuie sur les messages des utilisateurs.;oui;non;Art.50(1) (information : interaction avec une IA);Interaction avec des personnes ? informer qu'il s'agit d'une IA (Art.50(1)). Pas d'usage Annexe III ? limité.
TRN-LIM-23;Génération de sous-titres;minimal;Un média génère automatiquement les sous-titres de ses vidéos. Le système s'appuie sur les consignes et données fournies.;non;non;Risque minimal (a contrario) : exception Art.50(2) (fonction d'assistance / pas d'altération substantielle);Le sous-titrage automatique TRANSCRIT ce qui est dit : il ne crée pas de contenu nouveau et ne modifie ni les données d'entrée ni leur sémantique. L'Art.50(2) prévoit expressément que l'obligation de marquage ne s'applique pas 'dans la mesure où les systèmes d'IA remplissent une fonction d'assistance pour la mise en forme standard ou ne modifient pas de manière substantielle les données d'entrée ou leur sémantique' -> exception applicable -> AUCUNE obligation de marquage. Hors Art.5, hors Art.6/Annexes III-I, hors Art.50 par l'effet de l'exception -> risque minimal (a contrario, cons. 165 / Art.95). Enseignement : toute sortie générative ne déclenche pas le 50(2).
TRN-LIM-24;Publicité avec échange de visage;limite;Une agence produit une publicité par échange de visage (face-swap). Le système s'appuie sur des voix et vidéos sources.;oui;non;Art.50(4) (signalement des deepfakes);Publicité produite par échange de visage (face-swap) : le procédé porte par construction sur le visage d'une personne EXISTANTE -> hypertrucage au sens de l'Art.3(60) -> le déployeur doit signaler le contenu comme artificiellement généré/manipulé (Art.50(4), 1er al.) = risque limité. perso=oui (personne réelle identifiable). L'atténuation du 50(4) al.2 ne s'applique pas : une publicité n'est pas une oeuvre manifestement artistique (cf. #115). Points de vigilance hors AI Act : droit à l'image, consentement.
TRN-MIN-01;Filtre anti-spam;minimal;Un outil filtre les emails indésirables sans impact décisionnel sur des personnes. Le système s'appuie sur des données techniques.;oui;non;Risque minimal (a contrario) : hors Art.5, hors Art.6/Annexes III-I, hors Art.50 (cons. 165 / Art.95).;Aucun usage interdit/haut risque/transparence ? catégorie résiduelle (a contrario). Appui : considérant 165 / Art.95.
TRN-MIN-02;Maintenance prédictive (sans danger);minimal;Un système prédit l'usure des pièces pour planifier la maintenance, sans mise en danger. L'analyse repose sur les données des capteurs.;non;non;Hors Annexe I : PAS un composant de sécurité (Art.6(1) a contrario, déf. Omnibus). Reste minimal.;Optimisation/efficacité/confort sans mise en danger ? pas un composant de sécurité (déf. Omnibus). Aucun usage Annexe III ? minimal.
TRN-MIN-03;Jouet connecté auto-certifié (contre-exemple Art.6(1)(b));minimal;"Un fabricant intègre à un jouet une fonction coupant l'appareil en cas de surchauffe ; le jouet est auto-certifié selon les normes harmonisées, sans organisme notifié. Le système s'appuie sur les capteurs du jouet.";non;non;Produit de l'Annexe I (point 2, Jouets 2009/48) MAIS Art.6(1)(b) NON rempli (auto-certification) ? pas haut risque.;Art.6(1) exige DEUX conditions cumulatives : (a) composant de sécurité d'un produit de l'Annexe I ET (b) évaluation de conformité PAR UN TIERS. Un jouet conforme aux normes harmonisées est auto-certifié ? (b) non rempli ? PAS haut risque. Piège classique.
TRN-MIN-04;Optimisation du confort d'une machine;minimal;Un outil ajuste des paramètres de confort d'une machine, sans fonction de sécurité. Le système s'appuie sur les données des capteurs.;non;non;Hors Annexe I : PAS un composant de sécurité (Art.6(1) a contrario, déf. Omnibus). Reste minimal.;Optimisation/efficacité/confort sans mise en danger ? pas un composant de sécurité (déf. Omnibus). Aucun usage Annexe III ? minimal.
TRN-MIN-05;Optimisation des tournées de livraison;minimal;Un transporteur optimise ses itinéraires de livraison selon le trafic. L'analyse repose sur des données techniques.;non;non;Risque minimal (a contrario) : hors Art.5, hors Art.6/Annexes III-I, hors Art.50 (cons. 165 / Art.95).;Aucun usage interdit/haut risque/transparence ? catégorie résiduelle (a contrario). Appui : considérant 165 / Art.95.
TRN-MIN-06;Prévision des stocks;minimal;Un magasin prévoit ses besoins de réapprovisionnement à partir des ventes passées. Le système s'appuie sur des données techniques.;non;non;Risque minimal (a contrario) : hors Art.5, hors Art.6/Annexes III-I, hors Art.50 (cons. 165 / Art.95).;Aucun usage interdit/haut risque/transparence ? catégorie résiduelle (a contrario). Appui : considérant 165 / Art.95.
TRN-MIN-07;Correcteur orthographique;minimal;Un logiciel corrige automatiquement l'orthographe des documents internes. Le système s'appuie sur des données techniques.;non;non;Risque minimal (a contrario) : hors Art.5, hors Art.6/Annexes III-I, hors Art.50 (cons. 165 / Art.95).;Aucun usage interdit/haut risque/transparence ? catégorie résiduelle (a contrario). Appui : considérant 165 / Art.95.
TRN-MIN-08;Tri automatique de photos par thème;minimal;Une application classe les photos par thème pour l'utilisateur. L'analyse repose sur des données techniques.;oui;non;Risque minimal (a contrario) : hors Art.5, hors Art.6/Annexes III-I, hors Art.50 (cons. 165 / Art.95).;Classement d'images par thème pour l'usage privé de l'utilisateur : aucun usage interdit (Art.5), aucun usage des Annexes III/I, aucune obligation de transparence (Art.50) -> catégorie résiduelle = risque minimal (a contrario, cons. 165 / Art.95). perso=oui (des photos représentent des personnes identifiables). DISTINCTION CLÉ : le tri se fait PAR THÈME (paysage, alimentation...). Un tri PAR VISAGE (regroupement des photos d'une même personne) serait une catégorisation biométrique relevant de l'Annexe III §1(b) — donc haut risque, et non minimal. C'est le critère de tri qui fait le régime, pas l'application.
TRN-MIN-09;Recommandation de contenus internes;minimal;Un intranet suggère des articles internes selon les lectures. Il exploite des données techniques.;oui;non;Risque minimal (a contrario) : hors Art.5, hors Art.6/Annexes III-I, hors Art.50 (cons. 165 / Art.95).;Recommandation de contenus internes : aucun usage interdit (Art.5), aucun usage des Annexes III/I (la recommandation de contenu n'y figure pas), aucune obligation de transparence (Art.50) -> catégorie résiduelle = risque minimal (a contrario, cons. 165 / Art.95). perso=oui : recommander 'selon les lectures' suppose de tracer ce que chaque salarié consulte = historique nominatif, donc profilage sur données personnelles. Point de vigilance hors AI Act : RGPD (base légale, information des salariés) - signalé, sans requalifier.
TRN-MIN-10;Détection d'anomalies sur des machines (confort);minimal;Un outil signale des anomalies mineures de fonctionnement sans enjeu de sécurité. Le système s'appuie sur des données techniques.;non;non;Risque minimal (a contrario) : hors Art.5, hors Art.6/Annexes III-I, hors Art.50 (cons. 165 / Art.95).;Aucun usage interdit/haut risque/transparence ? catégorie résiduelle (a contrario). Appui : considérant 165 / Art.95.
